Emotion word,MC1,MC2,MC3,HK1,HK2,HK3,SG1,SG2,SG3
炽热 chire ‘fervor’,5.17 (1.88),"Ot (52.2), Hp (34.8)","60.9, 4.3, 34.8",3.91 (2.13),"Hp (54.5), Nu (27.3)","63.6, 4.5, 31.8",4.06 (1.92),"Ot (47.8), Un (30.4)","60, 0, 40"
迟疑 chiyi ‘hesitate’,2.78 (1.69),"Ot (34.8), Nu (30.4)","0, 17.4, 82.6",3.1 (1.6),"Ax (50), Nu (22.7)","0, 42.9, 57.1",3.57 (1.53),"Ot (39.1), Ax (21.7)","0, 26.1, 73.9"
崇拜 chongbai ‘adore’,5 (1.47),"Ot (52.2), Hp (39.1)","60.9, 0, 39.1",4.64 (1.8),"Hp (50), Ot (31.8)","50, 13.6, 36.4",4.7 (1.33),"Ot (73.9), Hp (17.4)","72.7, 0, 27.3"
冲动 chongdong ‘impulsive’,4.35 (1.66),"Ot (60.9), Ax (17.4)","0, 60.9, 39.1",3.95 (1.92),"Ot (54.5), Ag (18.2)","0, 50, 50",4.21 (1.91),"Ot (52.6), Nu (21.1)","0, 68.4, 31.6"
崇奉 chongfeng ‘worship’,5.05 (1.97),"Ot (63.6), Hp (27.3)","68.2, 13.6, 18.2",3.88 (1.68),"Ot (52.4), Un (19)","58.8, 5.9, 35.3",3.53 (2.17),"Ot (40), Nu (25)","64.7, 5.9, 29.4"
崇敬 chongjing ‘respect’,4.73 (1.98),"Ot (50), Hp (36.4)","95.5, 0, 4.5",3.9 (2.11),"Ot (66.7), Nu (28.6)","85, 0, 15",3.89 (2.2),"Ot (45), Hp (25)","77.8, 0, 22.2"
崇尚 chongshang ‘advocate’,4.18 (1.87),"Ot (50), Hp (31.8)","77.3, 0, 22.7",3.14 (1.86),"Ot (42.9), Nu (38.1)","25, 0, 75",3.42 (1.73),"Ot (65), Nu (25)","57.9, 5.3, 36.8"
充实 chongshi ‘substantial’,3.26 (1.77),"Hp (56.5), Nu (30.4)","65.2, 0, 34.8",2.59 (1.75),"Hp (50), Nu (45.5)","68.2, 0, 31.8",2.59 (1.87),"Nu (43.5), Ot (30.4)","76.2, 0, 23.8"
愁 chou ‘worried’,5.09 (1.06),"Ax (39.1), Sd (39.1)","0, 52.2, 47.8",5 (1.35),"Sd (76.2), Ot (14.3)","0, 100, 0",4.83 (0.96),"Sd (47.4), Ax (31.6)","10.5, 63.2, 26.3"
惆怅 chouchang ‘melancholy’,5.13 (1.12),"Sd (73.9), Ax (17.4)","4.3, 65.2, 30.4",5.15 (1.01),"Ax (72.7), Sd (9.1)","0, 95, 5",4.95 (1.15),"Sd (42.1), Ax (31.6)","10.5, 68.4, 21.1"
愁苦 chouku ‘sad’,5.67 (0.84),"Sd (76.2), Ax (23.8)","0, 90.5, 9.5",5.15 (1.06),"Sd (81), Ax (14.3)","0, 95, 5",4.9 (1.34),"Sd (65), Ax (20)","0, 80, 20"
愁闷 choumen ‘depressed’,5.41 (1.11),"Ax (54.5), Sd (40.9)","0, 90.9, 9.1",4.45 (1.4),"Sd (52.4), Ot (23.8)","0, 85, 15",5.32 (0.86),"Ot (35), Sd (35)","5.3, 78.9, 15.8"
带劲 daijin ‘exciting’,4.95 (1.36),"Hp (77.3), Ot (22.7)","81.8, 0, 18.2",5.23 (1.05),"Un (38.1), Hp (33.3)","84.6, 0, 15.4",4.47 (1.94),"Ot (45), Hp (30)","70.6, 0, 29.4"
怠慢 daiman ‘snub’,3.23 (1.7),"Ot (45.5), Nu (22.7)","0, 54.5, 45.5",2.11 (1.33),"Nu (38.1), Ot (33.3)","0, 61.1, 38.9",3 (1.71),"Ot (55), Nu (25)","0, 58.8, 41.2"
担心 danxin ‘worried’,4.48 (1.17),"Ax (69.6), Fr (13)","8.7, 34.8, 56.5",4.73 (1.25),"Ax (72.7), Fr (13.6)","9.1, 81.8, 9.1",4.48 (1.31),"Ax (73.9), Fr (17.4)","4.5, 68.2, 27.3"
担忧 danyou ‘worried’,4.57 (1.25),"Ax (65.2), Fr (21.7)","8.7, 39.1, 52.2",5.14 (1.06),"Ax (77.3), Fr (13.6)","0, 95.5, 4.5",5.05 (0.94),"Ax (84.2), Sd (10.5)","0, 57.9, 42.1"
捣乱 daoluan ‘make trouble’,2.91 (1.67),"Dg (30.4), Ot (26.1)","0, 82.6, 17.4",3.52 (1.87),"Ot (28.6), Dg (28.6)","0, 95.2, 4.8",3.42 (1.9),"Dg (31.6), Nu (31.6)","5.3, 84.2, 10.5"
得意 deyi ‘proud’,5.39 (0.82),"Hp (95.7), Ot (4.3)","34.8, 30.4, 34.8",4.73 (1.48),"Hp (86.4), Ot (9.1)","77.3, 13.6, 9.1",4.7 (1.12),"Hp (82.6), Ot (8.7)","34.8, 21.7, 43.5"
得志 dezhi ‘achieve one’s ambition’,4.67 (1.49),"Hp (79.2), Ot (16.7)","58.3, 8.3, 33.3",4.37 (1.63),"Hp (54.5), Ot (22.7)","42.1, 10.5, 47.4",3.38 (1.86),"Hp (40), Nu (26.7)","61.5, 0, 38.5"
惦念 diannian ‘reminisce’,4.62 (1.36),"Ot (59.1), Ax (27.3)","33.3, 4.8, 61.9",4.7 (1.55),"Ot (66.7), Ax (9.5)","20, 10, 70",4.16 (1.23),"Ot (50), Sd (35)","0, 15.8, 84.2"
低沉 dichen ‘dispirited’,3.43 (1.72),"Sd (47.8), Ot (30.4)","0, 60.9, 39.1",2.32 (1.72),"Nu (54.5), Sd (31.8)","0, 40.9, 59.1",3.91 (1.62),"Sd (56.5), Ot (21.7)","0, 68.2, 31.8"
低落 diluo ‘depressed’,4.58 (1.22),"Sd (91.7), Ax (4.2)","0, 87.5, 12.5",4.86 (1.49),"Sd (90.9), Nu (4.5)","0, 90.5, 9.5",4.8 (0.83),"Sd (93.3), Ot (6.7)","0, 80, 20"
敌视 dishi ‘hostile’,6.05 (0.88),"Dg (72.7), Ot (22.7)","0, 90.9, 9.1",5.33 (1.25),"Dg (52.4), Ot (23.8)","0, 95.2, 4.8",5.32 (1.22),"Dg (60), Ag (20)","0, 89.5, 10.5"
动心 dongxin ‘moved’,4 (1.57),"Hp (59.1), Ot (31.8)","72.7, 0, 27.3",4.48 (1.59),"Hp (61.9), Ot (33.3)","60, 0, 40",4.15 (1.53),"Hp (45), Ot (45)","65, 0, 35"
动摇 dongyao ‘indecisive’,3.13 (1.8),"Ot (52.2), Nu (26.1)","0, 26.1, 73.9",2.36 (1.75),"Nu (50), Ax (18.2)","0, 31.8, 68.2",2.65 (1.55),"Ot (47.8), Nu (39.1)","4.5, 9.1, 86.4"
对不起 duibuqi ‘apologetic’,3 (1.79),"Ot (52.2), Nu (26.1)","17.4, 13, 69.6",3.27 (1.98),"Nu (36.4), Sd (31.8)","4.5, 40.9, 54.5",4.22 (1.5),"Sd (52.2), Ot (26.1)","9.1, 27.3, 63.6"
对不住 duibuzhu ‘apologetic ‘,3 (1.56),"Ot (60.9), Nu (21.7)","4.3, 8.7, 87",3.32 (1.58),"Sd (36.4), Ot (27.3)","0, 28.6, 71.4",3.69 (1.89),"Ot (42.1), Un (15.8)","0, 46.7, 53.3"
妒嫉 duji ‘jealous’,5.79 (1.26),"Dg (45.8), Ot (41.7)","0, 91.7, 8.3",5.68 (0.87),"Ag (40.9), Ot (31.8)","0, 95.5, 4.5",5.8 (1.47),"Ot (46.7), Dg (20)","0, 93.3, 6.7"
妒忌 duji ‘jealous’,5.7 (1),"Dg (52.2), Ot (43.5)","0, 100, 0",5.36 (0.71),"Dg (38.1), Ot (28.6)","0, 100, 0",5.32 (1.03),"Ot (68.4), Dg (21.1)","5.3, 89.5, 5.3"
多情 duoqing ‘passionate’,3.1 (1.85),"Ot (47.8), Nu (30.4)","14.3, 19, 66.7",2.68 (1.49),"Ot (40.9), Nu (36.4)","0, 27.3, 72.7",3.7 (1.4),"Ot (65.2), Nu (13)","4.5, 40.9, 54.5"
愕然 eran ‘astounded’,5.54 (0.87),"Sp (100), NA (NA)","4.2, 20.8, 75",5 (1.28),"Sp (95.5), Fr (4.5)","4.5, 13.6, 81.8",5.27 (1.44),"Sp (86.7), Nu (6.7)","0, 33.3, 66.7"
发愁 fachou ‘worried’,4.65 (0.96),"Ax (60.9), Sd (30.4)","0, 73.9, 26.1",4.55 (1.23),"Ax (54.5), Sd (40.9)","0, 90.9, 9.1",4.57 (1.06),"Ax (43.5), Sd (34.8)","0, 77.3, 22.7"
发憷 fachu ‘scared’,5.84 (1.23),"Fr (63.6), Un (13.6)","0, 84.2, 15.8",4.6 (1.36),"Un (76.2), Sd (9.5)","0, 60, 40",4.33 (0.94),"Un (85), Ax (5)","0, 66.7, 33.3"
发慌 fahuang ‘nervous’,5.09 (1.1),"Ax (56.5), Fr (30.4)","0, 87, 13",4.77 (1.44),"Fr (61.9), Ax (19)","0, 66.7, 33.3",5.11 (0.97),"Ax (52.6), Fr (21.1)","5.3, 73.7, 21.1"
烦 fan ‘bothered’,5.18 (1.19),"Ax (73.9), Dg (13)","0, 82.6, 17.4",4.67 (1.21),"Dg (71.4), Ax (23.8)","4.8, 90.5, 4.8",4.63 (1.42),"Ax (47.4), Ot (31.6)","0, 84.2, 15.8"
犯愁 fanchou ‘anxious’,4.45 (1.2),"Ax (72.7), Sd (22.7)","0, 68.2, 31.8",4.47 (1.2),"Sd (38.1), Ax (28.6)","0, 80, 20",4.36 (1.67),"Ax (35), Un (30)","0, 71.4, 28.6"
反对 fandui ‘oppose’,2.39 (1.69),"Nu (47.8), Ot (30.4)","0, 17.4, 82.6",2.32 (1.79),"Nu (59.1), Ot (22.7)","0, 13.6, 86.4",3.04 (2.01),"Nu (43.5), Ot (26.1)","0, 60.9, 39.1"
反感 fangan ‘dislike’,4.73 (1.25),"Dg (95.5), Ag (4.5)","4.5, 95.5, 0",5.24 (1.19),"Dg (90.5), Ax (4.8)","4.8, 81, 14.3",5.05 (1.16),"Dg (100), NA (NA)","0, 90, 10"
放松 fangsong ‘relaxed’,2.14 (1.18),"Nu (36.4), Ot (31.8)","42.9, 0, 57.1",2.95 (1.84),"Ot (38.1), Hp (28.6)","50, 0, 50",2.35 (1.39),"Ot (60), Nu (30)","52.6, 0, 47.4"
放心 fangxin ‘at ease’,3.29 (1.67),"Hp (39.1), Ot (34.8)","70.8, 0, 29.2",3.59 (1.34),"Ot (63.6), Hp (27.3)","72.7, 0, 27.3",3 (1.86),"Ot (40), Nu (40)","53.3, 0, 46.7"
烦乱 fanluan ‘irritated’,5.35 (1.27),"Ax (78.3), Ot (13)","0, 91.3, 8.7",5.05 (1.29),"Ax (38.1), Dg (38.1)","0, 86.4, 13.6",5.05 (1.15),"Ax (68.4), Ot (15.8)","0, 68.4, 31.6"
烦闷 fanmen ‘irritated’,4.57 (1.21),"Ax (82.6), Dg (17.4)","0, 52.2, 47.8",4.55 (1.3),"Dg (40.9), Ot (27.3)","0, 95.5, 4.5",4.58 (1.18),"Ax (47.4), Dg (26.3)","0, 63.2, 36.8"
烦恼 fannao ‘worried’,4.86 (1.39),"Ax (72.7), Dg (13.6)","0, 86.4, 13.6",4.81 (0.91),"Ax (61.9), Ot (14.3)","0, 90.5, 9.5",3.9 (1.34),"Ax (65), Ot (20)","0, 75, 25"
烦人 fanren ‘annoying’,4.76 (1.27),"Dg (81.8), Ax (13.6)","0, 90.9, 9.1",4.48 (1.22),"Dg (90.5), Nu (4.8)","0, 95.2, 4.8",4.75 (1.04),"Dg (85), Ot (10)","0, 84.2, 15.8"
烦心 fanxin ‘annoyed’,4.75 (1.23),"Ax (75), Dg (20.8)","0, 79.2, 20.8",4.68 (1.3),"Ax (40.9), Dg (27.3)","0, 94.7, 5.3",5.07 (1.06),"Ax (73.3), Dg (13.3)","0, 80, 20"
烦杂 fanza ‘miscellaneous’,4.63 (1.41),"Ax (66.7), Dg (25)","0, 87.5, 12.5",4.68 (0.92),"Dg (72.7), Ax (22.7)","0, 90.9, 9.1",5.13 (1.02),"Dg (73.3), Ax (26.7)","0, 100, 0"
烦燥 fanzao ‘agitated’,5.3 (1.08),"Ax (95.7), Ot (4.3)","0, 82.6, 17.4",5.27 (1.01),"Dg (40.9), Ax (31.8)","4.5, 95.5, 0",5.32 (1.17),"Ax (42.1), Ag (26.3)","5.3, 89.5, 5.3"
